"plays","loads","finishes","downloads","likes","comments","uri","name","created_time","sizes","unique_viewers","unique_loads","mean_percent","mean_seconds","sum_seconds"
0,3,0,0,0,0,/videos/643061720,"Yara posição 9",2021-11-06T19:37:30+00:00,Array,0,2,0,0,0
0,1,0,0,0,0,/videos/643060088,"Yara posição 6",2021-11-06T19:25:14+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/643059364,"yara posição 5",2021-11-06T19:19:39+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/643058791,"yara posição 4",2021-11-06T19:15:33+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/643058579,"Yara posição 3",2021-11-06T19:13:51+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/643057909,"yara posição 2",2021-11-06T19:08:59+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/643057208,"yara posição 1",2021-11-06T19:04:50+00:00,Array,0,0,0,0,0
0,3,0,0,0,0,/videos/643056879,"Rui posição 10",2021-11-06T19:02:56+00:00,Array,0,1,0,0,0
0,2,0,0,0,0,/videos/643056425,"Rui posição 9",2021-11-06T19:00:18+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/643056040,"Rui posição 8",2021-11-06T18:57:35+00:00,Array,0,0,0,0,0
0,4,0,0,0,0,/videos/643055647,"Rui posição 7",2021-11-06T18:55:19+00:00,Array,0,1,0,0,0
0,2,0,0,0,0,/videos/643055210,"Rui posição 6",2021-11-06T18:52:33+00:00,Array,0,0,0,0,0
0,3,0,0,0,0,/videos/643054922,"Rui posição 5",2021-11-06T18:50:41+00:00,Array,0,1,0,0,0
0,2,0,0,0,0,/videos/643054454,"Rui posição 4",2021-11-06T18:47:47+00:00,Array,0,1,0,0,0
0,1,0,0,0,0,/videos/643053761,"Rui posição 3",2021-11-06T18:43:26+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/643053127,"Rui posição 2",2021-11-06T18:39:02+00:00,Array,0,0,0,0,0
0,2,0,0,0,0,/videos/643052541,"Rui posição 1",2021-11-06T18:35:06+00:00,Array,0,1,0,0,0
0,1,0,0,0,0,/videos/643052240,"Piaui posição 10",2021-11-06T18:33:14+00:00,Array,0,0,0,0,0
0,3,0,0,0,0,/videos/643052065,"Piaui posição 9",2021-11-06T18:32:08+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/643051778,"Piaui posição 8",2021-11-06T18:30:23+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/643051474,"Piaui posição 7",2021-11-06T18:28:31+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/643051307,"Piaui posição 6",2021-11-06T18:27:20+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/643050953,"Piaui posição 4",2021-11-06T18:24:45+00:00,Array,0,0,0,0,0
0,2,0,0,0,0,/videos/643050762,"Piaui posição 3",2021-11-06T18:23:23+00:00,Array,0,1,0,0,0
0,2,0,0,0,0,/videos/643049283,"Izadora posição 10",2021-11-06T18:13:17+00:00,Array,0,1,0,0,0
0,1,0,0,0,0,/videos/643048590,"Izadora posição 9",2021-11-06T18:08:32+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/643046475,"Izadora posição 6",2021-11-06T17:56:33+00:00,Array,0,0,0,0,0
0,2,0,0,0,0,/videos/643045787,"Izadora posição 5",2021-11-06T17:52:37+00:00,Array,0,1,0,0,0
0,2,0,0,0,0,/videos/643045483,"izadora posição 4",2021-11-06T17:50:43+00:00,Array,0,1,0,0,0
0,2,0,0,0,0,/videos/643045215,"izadora posição 3",2021-11-06T17:48:57+00:00,Array,0,1,0,0,0
